1;Femenino;2004;79261;500,9346337;483,6701783
1;Femenino;2005;172546;497,8312624;484,9815759
1;Femenino;2006;180589;499,6742271;485,3446445
1;Femenino;2007;219368;498,2520969;486,0353607
1;Femenino;2008;226824;496,9596427;486,2132358
1;Femenino;2009;249736;496,8599041;487,621248
1;Femenino;2010;257177;499,7247188;485,5586114
1;Femenino;2011;254598;500,8983574;486,8155013
1;Femenino;2012;239460;501,2806272;488,7468053
1;Femenino;2013;239758;498,0932232;487,7293604
1;Femenino;2014;239281;499,2738287;486,6268738
1;Femenino;2015;254034;498,3846296;487,9183928
1;Femenino;2016;260393;501,1202106;491,1675237
2;Masculino;2004;72493;501,1152801;517,7699502
2;Masculino;2005;156442;503,446306;518,1758032
2;Masculino;2006;161815;501,3517844;518,1398511
2;Masculino;2007;190866;503,8111659;517,2110538
2;Masculino;2008;194103;505,1476587;517,3932654
2;Masculino;2009;220069;505,4475324;515,078948
2;Masculino;2010;230771;502,0680198;518,211153
2;Masculino;2011;231424;501,9012505;517,3959788
2;Masculino;2012;209651;500,8513864;514,3153193
2;Masculino;2013;213353;505,1538014;515,2993583
2;Masculino;2014;212696;504,0728269;516,6811459
2;Masculino;2015;225715;504,0792947;515,1207363
2;Masculino;2016;229462;501,2344789;511,4381989
